carpark_number,latitude,longitude,area
BJ44,1.380648941115931,103.76498679347878,Bukit Panjang
BJ45,1.378687961396443,103.765008780912,Bukit Panjang
BJ48,1.387185789827295,103.76460302573554,Choa Chu Kang
BJ49,1.3848974600068844,103.76148675340288,Choa Chu Kang
BJ5,1.374991553181362,103.7730772236165,Bukit Panjang
BJ50,1.388183997698609,103.77368892264832,Bukit Panjang
BJ51,1.379398408707916,103.76346427312733,Choa Chu Kang
BJ52,1.3791133613234363,103.76263790594508,Choa Chu Kang
BJ53,1.3898028076418842,103.77193206988431,Bukit Panjang
BJ54,1.3890478094024736,103.77350010545896,Bukit Panjang
BJ55,1.3862829447414404,103.76077695178864,Choa Chu Kang
BJ56,1.3858912160470138,103.75894983505414,Choa Chu Kang
BJ57,1.3852512028457102,103.760170448377,Choa Chu Kang
BJ58,1.387524429768434,103.77127261757693,Bukit Panjang
BJ59,1.389865083543783,103.77126415842302,Sungei Kadut
BJ6,1.3741714064009982,103.77440629700938,Bukit Panjang
BJ60,1.3883210041492482,103.76951901080174,Bukit Panjang
BJ61,1.3890048643870951,103.76779289976676,Choa Chu Kang
BJ62,1.3842686253745766,103.77139632201656,Bukit Panjang
BJ63,1.381315510557872,103.77029114340532,Bukit Panjang
BJ65,1.384704157156028,103.7587613770604,Choa Chu Kang
BJ66,1.3862485761850714,103.75770261335524,Choa Chu Kang
BJ67,1.3873499559694629,103.75798290360116,Choa Chu Kang
BJ68,1.3853817252275489,103.76997021493004,Bukit Panjang
BJ69,1.3878519593287,103.76307279280742,Choa Chu Kang
BJ70,1.3895479102849917,103.76377023174244,Choa Chu Kang
BJ71,1.3870307792572274,103.76196301801664,Choa Chu Kang
BJ72,1.3888778457850932,103.76087204278888,Choa Chu Kang
BJ8,1.374699730825973,103.77359583708764,Bukit Panjang
BKE1,1.3078189305831875,103.8515963392346,Kallang
BKE2,1.314128096949689,103.8554799637832,Kallang
BKE3,1.3144152298359464,103.85580084662912,Kallang
BKE4,1.3144503701412036,103.85684097167238,Kallang
BKE7,1.3126129574907273,103.85532195310904,Kallang
BKE9,1.307337212647674,103.85146379729116,Kallang
BKRM,1.3172763032697583,103.86136809519915,Kallang
BLM,1.315506440163754,103.86095873270096,Kallang
BL10,1.3437618406573566,103.7114251379433,Jurong West
BL13,1.3446925875203746,103.71503519763276,Jurong West
BL15,1.3459715197541606,103.70756220303522,Jurong West
BL17,1.347871241447772,103.70774069535427,Jurong West
BL18,1.3465495557125742,103.71442382780674,Jurong West
BL19,1.3487772809984742,103.71334566358098,Jurong West
