CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
Q0008,,QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),1.304678940975563 103.80216512483725,0,Y,URA
S0020,,SEMBAWANG HILLS FOOD CENTRE OFF STREET,1.3722654677464599 103.8288231857784,9,Y,URA
S0020,,SEMBAWANG HILLS FOOD CENTRE OFF STREET,1.3722654677464599 103.8288231857784,14,C,URA
S0049,,Serangoon Rd-Lavender St Off Street,1.3148874577182357 103.8585875713976,20,Y,URA
S0049,,Serangoon Rd-Lavender St Off Street,1.3148874577182357 103.8585875713976,73,C,URA
S0055,,SERANGOON GARDEN MARKET OFF STREET,1.3627998667047532 103.86632587825486,96,C,URA
S0106,,SIN MING DRIVE OFF STREET,1.3566926857648622 103.83606317799318,59,C,URA
S0108,,SHREWSBURY ROAD OFF ST REET,1.3186024746953806 103.85067798545586,3,Y,URA
S0108,,SHREWSBURY ROAD OFF ST REET,1.3186024746953806 103.85067798545586,11,C,URA
S0112,,SEAH IM ROAD OFF STREET,1.2680395173231764 103.81759598210823,4,Y,URA
S0112,,SEAH IM ROAD OFF STREET,1.2680395173231764 103.81759598210823,104,C,URA
S0112,,SEAH IM ROAD OFF STREET,1.2680395173231764 103.81759598210823,0,H,URA
S0150,,SULTAN GATE - ALIWAL STREET OFF STREET,1.3024545607005944 103.86058819582028,0,C,URA
S0150,,SULTAN GATE - ALIWAL STREET OFF STREET,1.3024545607005944 103.86058819582028,0,Y,URA
S0166,,SEMBAWANG RD-ADMIRALTY RD EAST OFF STREET,1.4536994107826589 103.83314342176924,12,Y,URA
S0166,,SEMBAWANG RD-ADMIRALTY RD EAST OFF STREET,1.4536994107826589 103.83314342176924,31,C,URA
S0171,,SPOONER ROAD OFF STREET,1.2756889219219043 103.8350591496928,26,C,URA
S0171,,SPOONER ROAD OFF STREET,1.2756889219219043 103.8350591496928,0,Y,URA
T0017,,TIONG BAHRU PARK OFF STREET,1.2869316650017533 103.82464089829915,14,C,URA
T0103,,TEMBELING ROAD OFF STREET,1.3128601116279206 103.90081283677726,82,C,URA
T0103,,TEMBELING ROAD OFF STREET,1.3128601116279206 103.90081283677726,1,Y,URA
T0129,,TANJONG KATONG COMPLEX,1.3168901823921382 103.89522931567416,17,Y,URA
T0129,,TANJONG KATONG COMPLEX,1.3168901823921382 103.89522931567416,6,H,URA
T0129,,TANJONG KATONG COMPLEX,1.3168901823921382 103.89522931567416,71,C,URA
T0140,,TANJONG KATONG ROAD OFF STREET,1.3068395612884849 103.89608109782583,60,C,URA
T0140,,TANJONG KATONG ROAD OFF STREET,1.3068395612884849 103.89608109782583,14,Y,URA
U0036,,UPPER EAST COAST ROAD OFF STREET,1.3122387155540085 103.92605288490613,99,C,URA
U0042,,UPPER CHANGI ROAD - BEDOK ROAD OFF STREET,1.3321242011794179 103.9464677456276,25,C,URA
V0007,,VERDUN ROAD OFF STREET,1.310324224867271 103.85612855572867,0,C,URA
W0029,,WEST COAST PARK 1 OFF STREET,1.2896228087061794 103.77142607054463,65,C,URA
W0055,,WARNA ROAD OFF STREET,1.3110802058970243 103.79619690369877,25,C,URA
Y0019,,YAN KIT ROAD - CANTONMENT ROAD OFF ST,1.274548916040047 103.8414295793987,0,Y,URA
Y0019,,YAN KIT ROAD - CANTONMENT ROAD OFF ST,1.274548916040047 103.8414295793987,4,C,URA
A2,,BLK 206/207 ANG MO KIO STREET 22,1.3662370557749661 103.84304639719986,85,C,HDB
A4,,BLK 217/220 ANG MO KIO AVENUE 1,1.3656916205890623 103.84119216501801,156,C,HDB
A7,,BLK 212/213 ANG MO KIO STREET 23,1.3683924870182864 103.84130175438884,135,C,HDB
A8,,BLK 209/210 ANG MO KIO STREET 22,1.3687560709891127 103.84330771146703,11,C,HDB
A9,,BLK 202/203 ANG MO KIO STREET 22,1.3680743699753581 103.84439219780583,53,C,HDB
B6,,BLK 204/209 NEW UPPER CHANGI ROAD,1.3263304965623701 103.93033953937294,454,C,HDB
B7,,BLK 211/218 BEDOK NORTH STREET 1,1.3251312398151527 103.93192173162576,36,C,HDB
B8,,BLK 201/203 BEDOK NORTH STREET 1,1.3258814964598793 103.9282762330767,50,C,HDB
B9,,BLK 402/403 BEDOK NORTH AVENUE 3,1.330172708654616 103.93381517924433,125,C,HDB
C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVENUE 2",1.3131026590516381 103.76957394864736,11,Y,HDB
C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVENUE 2",1.3131026590516381 103.76957394864736,361,C,HDB
C5,,"BLK 358-360,362-363,366-367 CLEMENTI AVENUE 2",1.3131026590516381 103.76957394864736,0,H,HDB
C6,,BLK 328-334 CLEMENTI AVENUE 2,1.314488113912262 103.76769116550204,116,C,HDB
C7,,BLK 349-355 CLEMENTI AVENUE 2,1.3148838722789522 103.77075500850248,2,C,HDB
C8,,BLK 335/338 CLEMENTI AVENUE 2,1.3166746567855399 103.7686311034558,205,C,HDB
C9,,BLK 340/342/343/346-348 CLEMENTI AVENUE  5,1.3176492492386984 103.77031234940921,0,H,HDB
C9,,BLK 340/342/343/346-348 CLEMENTI AVENUE  5,1.3176492492386984 103.77031234940921,90,Y,HDB
C9,,BLK 340/342/343/346-348 CLEMENTI AVENUE  5,1.3176492492386984 103.77031234940921,218,C,HDB
CY,,BLK 269/269A/269B CHENG YAN COURT CAR PARK,1.3006260281119737 103.85366487138317,8,C,HDB
H3,,BLK 87 ZION ROAD,1.291008686889873 103.83251535744483,15,Y,HDB
H3,,BLK 87 ZION ROAD,1.291008686889873 103.83251535744483,31,C,HDB
H3,,BLK 87 ZION ROAD,1.291008686889873 103.83251535744483,0,H,HDB
H4,,BLK 22 HAVELOCK ROAD,1.2880938969308275 103.8293714053682,63,C,HDB
H6,,BLK 77/79 GANGES AVENUE,1.2913696641308 103.82898358689255,117,C,HDB
H8,,BLKS 4-8 TAMAN HO SWEE,1.2877269654897545 103.830922138015,0,C,HDB
H8,,BLKS 4-8 TAMAN HO SWEE,1.2877269654897545 103.830922138015,65,Y,HDB
H8,,BLKS 4-8 TAMAN HO SWEE,1.2877269654897545 103.830922138015,0,H,HDB
J1,,BLK 101/107 JURONG EAST STREET 13,1.3364297229730604 103.73809826514403,175,C,HDB
J2,,BLK 108/110 JURONG EAST STREET 13,1.3386077600557718 103.7367713135244,90,C,HDB
J3,,BLK 111/116 JURONG EAST STREET 13,1.3394948365729908 103.73548477934006,157,C,HDB
J4,,BLK 201/206 JURONG EAST STREET 21,1.3375301693759827 103.74190260101679,65,C,HDB
J5,,BLK 207/208 JURONG EAST STREET 21,1.3383144751817373 103.74241817422428,126,C,HDB
J6,,BLK 209/214 JURONG EAST STREET 21,1.3390681001021136 103.73885142891037,136,C,HDB
J7,,BLK 215A/231 JURONG EAST STREET 21,1.3415438729532339 103.73803314961165,323,C,HDB
J8,,BLK 232/240 JURONG EAST STREET 21,1.3404301943656023 103.74157403903646,160,C,HDB
J9,,BLK 241/245 JURONG EAST STREET 24,1.342122435217394 103.74200092091989,43,C,HDB
K2,,"BLK 9,10,12 PINE CLOSE",1.3087364754969968 103.88235130672615,9,C,HDB
K2,,"BLK 9,10,12 PINE CLOSE",1.3087364754969968 103.88235130672615,0,Y,HDB
K2,,"BLK 9,10,12 PINE CLOSE",1.3087364754969968 103.88235130672615,0,H,HDB
L1,,BLK 415-420 LORONG LEW LIAN,1.3495058318686604 103.87535455642119,45,C,HDB
M1,,BLK 85 TO 94/92A PIPIT ROAD,1.3230747812470922 103.88643638826377,0,H,HDB
M1,,BLK 85 TO 94/92A PIPIT ROAD,1.3230747812470922 103.88643638826377,114,C,HDB
M1,,BLK 85 TO 94/92A PIPIT ROAD,1.3230747812470922 103.88643638826377,71,Y,HDB
M3,,BLK 19 TO 21/23/24/30/32 BALAM ROAD,1.329868086641196 103.88689704177332,10,C,HDB
M4,,BLK 22/34/36 CIRCUIT ROAD,1.3290227941326427 103.88765970175469,264,C,HDB
P1,,BLK 196 PUNGGOL FIELD,1.399336854627359 103.90702372583516,170,C,HDB
P2,,BLK 199 PUNGGOL FIELD,1.4001046188822317 103.9060288238149,114,C,HDB
P3,,BLK 101 PUNGGOL FIELD,1.3984568370198485 103.90577445865668,368,C,HDB
P4,,BLK 105 EDGEFIELD PLAINS,1.3972271616954468 103.90562289882705,141,C,HDB
P5,,BLK 107 PUNGGOL FIELD,1.3968775546534296 103.90764189630708,217,C,HDB
P6,,BLK 109 PUNGGOL FIELD,1.3953685694999656 103.90946234340298,267,C,HDB
P7,,BLK 119 EDGEFIELD PLAINS,1.3954279668406948 103.90647015288731,195,C,HDB
P8,,BLK 126 EDGEDALE PLAINS,1.3942284461837198 103.91091390677076,192,C,HDB
P9,,BLK 128 PUNGGOL FIELD WALK,1.392923918360717 103.91253745829626,202,C,HDB
Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414374725 103.79956933961498,0,H,HDB
Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414374725 103.79956933961498,49,Y,HDB
Q8,,BLK 19/23A/23B QUEENS CLOSE,1.294206414374725 103.79956933961498,68,C,HDB
T1,,BLK 101/108 TAMPINES STREET 11,1.347570957659386 103.94694258680563,204,C,HDB
T3,,BLK 109/114 TAMPINES STREET 11,1.346640702213639 103.94744219430476,99,C,HDB
T4,,BLK 124/127 TAMPINES STREET 11,1.345420018161259 103.94981419991525,117,C,HDB
T7,,BLK 136/138 TAMPINES STREET 11,1.3454696968798134 103.94580540367225,58,C,HDB
T8,,BLK 137/139 TAMPINES STREET 11,1.3464142307721685 103.94419007328723,157,C,HDB
T9,,BLK 140/148 TAMPINES STREET 12,1.3478163316816278 103.94364671149819,237,C,HDB
U1,,BLK 101/110 BUKIT BATOK WEST AVENUE 6,1.3483897030538512 103.7469815015126,206,C,HDB
U2,,BLK 111/132 BUKIT BATOK WEST AVENUE 6,1.3498724840365028 103.7463092925488,340,C,HDB
U3,,BLK 133/139 BUKIT BATOK WEST AVENUE 6,1.3513919565746573 103.74435163478556,54,C,HDB
U4,,BLK 140/143 BUKIT BATOK STREET 11,1.3506535652617195 103.74321996303743,88,C,HDB
U5,,BLK 144/149 BUKIT BATOK WEST AVENUE 6,1.3501372413154815 103.7446778817919,55,C,HDB
U6,,BLK 150/158 BUKIT BATOK STREET 11,1.348029518209846 103.74410352317285,48,C,HDB
U7,,BLK 159/164 BUKIT BATOK STREET 11,1.3487076641474551 103.74209266176062,132,C,HDB
U8,,BLK 165/168 BUKIT BATOK WEST AVENUE 8,1.3471619786173128 103.74189460190144,26,C,HDB
U9,,BLK 169/177 BUKIT BATOK WEST AVENUE 8,1.3458719785921376 103.74120383317256,79,C,HDB
W4,,BLK 6/7 MARSILING DRIVE,1.4424581505866014 103.77681951196698,0,C,HDB
W5,,BLK 10/13 MARSILING LANE,1.4407540972620325 103.77819425199445,47,C,HDB
W6,,BLK 15/16 MARSILING LANE,1.442102473573417 103.77795396332425,0,C,HDB
W7,,BLK 17/21 MARSILING LANE,1.443136124291114 103.7776082944175,52,C,HDB
Y1,,BLK 101/102 YISHUN AVENUE 5,1.4309417250194034 103.82747208652073,45,C,HDB
Y2,,BLK 103/111 YISHUN RING ROAD,1.4321665542852815 103.82805888962517,222,C,HDB
Y3,,BLK 112/120 YISHUN RING ROAD,1.4347114221949966 103.82888652134125,220,C,HDB
Y4,,BLK 121/143 YISHUN STREET 11/RING ROAD,1.4347516057906717 103.83150986637463,343,C,HDB
Y5,,BLK 144/149 YISHUN STREET 11,1.4311145317313538 103.83210758322952,102,C,HDB
Y6,,BLK 150/161 YISHUN STREET 11,1.432523042353087 103.8341941282175,135,C,HDB
Y7,,BLK 701/716 & 701B YISHUN AVENUE 5,1.4273018179334416 103.82745054301381,408,C,HDB
Y8,,BLK 731/746 YISHUN STREET 71/72/AVENUE 5,1.4294449190702871 103.83127807040323,443,C,HDB
Y9,,BLK 747/752 YISHUN STREET 72,1.4278309135202538 103.83401256586959,170,C,HDB
A10,,BLK 201/202 ANG MO KIO STREET 22,1.3686329816101988 103.84452401517694,33,C,HDB
A11,,BLK 223/226/226A-226D ANG MO KIO STREET 22,1.3670355338563829 103.83818109685144,233,C,HDB
A12,,BLK 229/230 ANG MO KIO STREET 22,1.3685678874760032 103.83875932066425,111,C,HDB
A13,,BLK 232/233 ANG MO KIO STREET 22,1.3680002216486569 103.83680961188597,57,C,HDB
A15,,BLK 226E-226H ANG MO KIO STREET 22,1.3669676104167936 103.84041745597007,37,C,HDB
A20,,BLK 304/307/319 ANG MO KIO STREET 31,1.3649433806449376 103.84845709182183,1,C,HDB
A21,,BLK 325/326/301 ANG MO KIO STREET 31,1.3681275586160322 103.84631322417127,9,Y,HDB
A21,,BLK 325/326/301 ANG MO KIO STREET 31,1.3681275586160322 103.84631322417127,0,H,HDB
A21,,BLK 325/326/301 ANG MO KIO STREET 31,1.3681275586160322 103.84631322417127,577,C,HDB
A24,,BLK 338/340 ANG MO KIO STREET 32,1.3647534118848699 103.84939765277407,153,C,HDB
A25,,BLK 330/337 ANG MO KIO AVENUE 8,1.3627693074361988 103.85162748927686,330,C,HDB
A26,,BLK 113/114/118 ANG MO KIO AVENUE 4,1.37277020220696 103.83544756414713,199,C,HDB
A27,,BLK 108/109/110 ANG MO KIO STREET 11,1.3703630515394774 103.83832065154083,102,C,HDB
